game,round,side,date,time,field,home,away,winner_to,loser_to,home_runs,away_runs,status
B1,QF,championship,2026-09-13,14:00,Field 1,seed:1,seed:8,B5,L1,,,
B2,QF,championship,2026-09-13,14:00,Field 2,seed:4,seed:5,B5,L1,,,
B3,QF,championship,2026-09-13,14:00,Field 3,seed:2,seed:7,B6,L2,,,
B4,QF,championship,2026-09-13,14:00,Field 4,seed:3,seed:6,B6,L2,,,
B5,SF,championship,2026-09-13,16:00,Field 1,winner:B1,winner:B2,B7,L3,,,
B6,SF,championship,2026-09-13,16:00,Field 2,winner:B3,winner:B4,B7,L4,,,
B7,F,championship,2026-09-13,17:45,Field 1,winner:B5,winner:B6,IF,,,,
L1,L1,losers,2026-09-13,16:00,Field 3,loser:B1,loser:B2,L3,,,,
L2,L1,losers,2026-09-13,16:00,Field 4,loser:B3,loser:B4,L4,,,,
L3,L2,losers,2026-09-13,17:00,Field 2,winner:L1,loser:B5,L5,,,,
L4,L2,losers,2026-09-13,17:00,Field 3,winner:L2,loser:B6,L5,,,,
L5,L3,losers,2026-09-13,17:20,Field 4,winner:L3,winner:L4,LF,,,,
LF,LF,losers,2026-09-13,17:40,Field 2,winner:L5,loser:B7,IF,,,,
IF,IF,championship,2026-09-13,18:00,Field 1,winner:B7,winner:LF,,,,,
